STEP 0; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=5];
STEP 64; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=6];
STEP 65; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=7];
STEP 66; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=8];
STEP 67; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=9];
STEP 68; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=9];
STEP 69; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=9];
STEP 70; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=10];
STEP 71; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=10];
STEP 72; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=10];
STEP 73; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=11];
STEP 74; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=11];
STEP 75; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=12];
STEP 76; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=13];
STEP 77; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=14];
STEP 78; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=14];
STEP 79; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=13];
STEP 80; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=12];
STEP 81; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=12];
STEP 82; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=13];
STEP 83; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=14];
STEP 84; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=15];
STEP 85; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=15];
STEP 86; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=16];
STEP 87; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=16];
STEP 88; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=16];
STEP 89; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=16];
STEP 90; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=16];
STEP 91; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=17];
STEP 92; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=18];
STEP 93; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=19];
STEP 94; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=19];
STEP 95; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=19];
STEP 96; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=18];
STEP 97; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=18];
STEP 98; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=17];
STEP 99; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=16];
STEP 100; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=15];
STEP 101; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=14];
STEP 102; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=13];
STEP 103; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=13];
STEP 104; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=12];
STEP 105; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=12];
STEP 106; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=12];
STEP 107; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=11];
STEP 108; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=10];
STEP 109; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=10];
STEP 110; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=9];
STEP 111; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=9];
STEP 112; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=9];
STEP 113; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=10];
STEP 114; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=11];
STEP 115; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=11];
STEP 116; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=11];
STEP 117; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=12];
STEP 118; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=12];
STEP 119; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=13];
STEP 120; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=12];
STEP 121; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=12];
STEP 122; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=13];
STEP 123; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=12];
STEP 124; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=12];
STEP 125; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=12];
STEP 126; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=13];
STEP 127; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=13];
STEP 128; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=13];
STEP 129; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=13];
STEP 130; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=12];
STEP 131; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=11];
STEP 132; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=11];
STEP 133; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=10];
STEP 134; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=10];
STEP 135; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=9];
STEP 136; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=9];
STEP 137; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=9];
STEP 138; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=8];
STEP 139; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=7];
STEP 140; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=7];
STEP 141; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=6];
STEP 142; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=5];
STEP 143; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=5];
STEP 144; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=6];
STEP 145; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=7];
STEP 146; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=8];
STEP 147; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=8];
STEP 148; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=8];
STEP 149; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=7];
STEP 150; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=8];
STEP 151; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=7];
STEP 152; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=7];
STEP 153; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=7];
STEP 154; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=6];
STEP 155; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=6];
STEP 156; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=6];
STEP 157; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=6];
STEP 158; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=7];
STEP 159; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=8];
STEP 160; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=9];
STEP 161; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=8];
STEP 162; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=8];
STEP 163; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=9];
STEP 164; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=9];
STEP 165; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=9];
STEP 166; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=10];
STEP 167; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=10];
STEP 168; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=10];
STEP 169; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 170; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=10];
STEP 171; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=10];
STEP 172; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=9];
STEP 173; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=9];
STEP 174; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=10];
STEP 175; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 176; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=12];
STEP 177; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=13];
STEP 178; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=13];
STEP 179; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=13];
STEP 180; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=13];
STEP 181; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=13];
STEP 182; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=14];
STEP 183; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=14];
STEP 184; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=14];
STEP 185; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=15];
STEP 186; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=16];
STEP 187; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=16];
STEP 188; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=16];
STEP 189; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=15];
STEP 190; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=15];
STEP 191; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=15];
STEP 192; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=16];
STEP 193; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=17];
STEP 194; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=17];
STEP 195; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=16];
STEP 196; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=16];
STEP 197; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=16];
STEP 198; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=16];
STEP 199; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=16];
STEP 200; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=16];
STEP 201; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=15];
STEP 202; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=14];
STEP 203; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=14];
STEP 204; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=15];
STEP 205; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=15];
STEP 206; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=16];
STEP 207; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=17];
STEP 208; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=17];
STEP 209; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=16];
STEP 210; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=17];
STEP 211; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=17];
STEP 212; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=17];
STEP 213; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=18];
STEP 214; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=18];
STEP 215; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=19];
STEP 216; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=19];
STEP 217; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=20];
STEP 218; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=20];
STEP 219; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=20];
STEP 220; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=19];
STEP 221; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=19];
STEP 222; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=19];
STEP 223; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=19];
STEP 224; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=19];
STEP 225; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=20];
STEP 226; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=21];
STEP 227; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=21];
STEP 228; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=20];
STEP 229; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=20];
STEP 230; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=21];
STEP 231; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=22];
STEP 232; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=22];
STEP 233; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=23];
STEP 234; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=24];
STEP 235; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=24];
STEP 236; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=23];
STEP 237; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=23];
STEP 238; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=24];
STEP 239; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=24];
STEP 240; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=24];
STEP 241; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=23];
STEP 242; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=23];
STEP 243; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=22];
STEP 244; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=22];
STEP 245; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=21];
STEP 246; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=21];
STEP 247; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=21];
STEP 248; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=20];
STEP 249; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=20];
STEP 250; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=21];
STEP 251; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=22];
STEP 252; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=22];
STEP 253; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=21];
STEP 254; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=20];
STEP 255; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=19];
STEP 256; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=18];
STEP 257; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=17];
STEP 258; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=17];
STEP 259; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=18];
STEP 260; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=19];
STEP 261; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=19];
STEP 262; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=19];
STEP 263; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=18];
STEP 264; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=17];
STEP 265; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=17];
STEP 266; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=18];
STEP 267; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=17];
STEP 268; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=18];
STEP 269; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=18];
STEP 270; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=18];
STEP 271; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=19];
STEP 272; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=18];
STEP 273; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=18];
STEP 274; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=18];
STEP 275; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=18];
STEP 276; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=18];
STEP 277; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=19];
STEP 278; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=19];
STEP 279; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=18];
STEP 280; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=17];
STEP 281; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=17];
STEP 282; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=16];
STEP 283; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=15];
STEP 284; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=15];
STEP 285; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=15];
STEP 286; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=16];
STEP 287; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=17];
STEP 288; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=17];
STEP 289; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=17];
STEP 290; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=17];
STEP 291; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=16];
STEP 292; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=16];
STEP 293; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=16];
STEP 294; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=17];
STEP 295; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=16];
STEP 296; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=16];
STEP 297; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=17];
STEP 298; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=17];
STEP 299; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=18];
STEP 300; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=18];
STEP 301; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=18];
STEP 302; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=18];
STEP 303; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=17];
STEP 304; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=18];
STEP 305; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=17];
STEP 306; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=17];
STEP 307; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=17];
STEP 308; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=16];
STEP 309; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=16];
STEP 310; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=15];
STEP 311; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=16];
STEP 312; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=16];
STEP 313; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=15];
STEP 314; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=14];
STEP 315; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=14];
STEP 316; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=15];
STEP 317; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=15];
STEP 318; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=14];
STEP 319; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=14];
STEP 320; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=14];
STEP 321; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=13];
STEP 322; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=13];
STEP 323; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=12];
STEP 324; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=13];
STEP 325; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=14];
STEP 326; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=13];
STEP 327; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=14];
STEP 328; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=15];
STEP 329; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=15];
STEP 330; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=14];
STEP 331; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=13];
STEP 332; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=14];
STEP 333; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=15];
STEP 334; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=16];
STEP 335; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=17];
STEP 336; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=18];
STEP 337; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=17];
STEP 338; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=16];
STEP 339; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=15];
